COD_PARROQUIA;NOM_PARROQUIA;COD_CANTON;COD_CIRCUNSCRIPCION
7150;COMITE DEL PUEBLO;60;1
7155;CHILIBULO;60;2
7160;EL CONDADO;60;1
7165;GUAMANI;60;2
7170;IÑAQUITO;60;1
7175;ITCHIMBIA;60;1
7180;JIPIJAPA;60;1
7185;KENNEDY;60;1
7190;LA ARGELIA;60;2
7195;LA CONCEPCION;60;1
7200;LA ECUATORIANA;60;2
7205;LA FERROVIARIA;60;2
7210;LA MENA;60;2
7215;MARISCAL SUCRE;60;1
7220;PONCEANO;60;1
7225;PUENGASI;60;2
7230;QUITUMBE;60;2
7235;RUMIPAMBA;60;1
7240;SAN BARTOLO;60;2
7245;SAN ISIDRO DEL INCA;60;1
7250;SAN JUAN;60;1
7255;SOLANDA;60;2
7260;TURUBAMBA;60;2
9008;C. E. EN LA PAZ;61;0
165;ASCAZUBI;65;4
480;CANGAHUA;65;4
2600;OLMEDO/PESILLO;65;4
2635;OTON;65;4
3735;STA.ROSA DE CUSUBAMBA;65;4
4620;SAN JOSE DE AYORA;65;4
5190;CAYAMBE;65;4
5495;JUAN MONTALVO;65;4
55;ALOAG;70;4
60;ALOASI;70;4
650;CORNEJO ASTORGA /TANDAPI;70;4
755;CUTUGLAGUA;70;4
850;CHAUPI;70;4
3960;TAMBILLO;70;4
4155;UYUMBICHO;70;4
5620;MACHACHI;70;4
9009;C. E. EN BRASILIA;71;0
9067;C. E. EN SAO PAULO;71;0
2025;LA ESPERANZA;75;4
2330;MALCHINGUI;75;4
4045;TOCACHI;75;4
4090;TUPIGACHI;75;4
6145;TABACUNDO;75;4
680;COTOGCHOA;80;4
3230;RUMIPAMBA;80;4
5965;SANGOLQUI;80;4
6600;SAN RAFAEL;80;4
6605;SAN PEDRO DE TABOADA;80;4
7535;FAJARDO;80;4
9011;C. E. EN TORONTO;81;0
9012;C. E. EN OTTAWA;81;0
75;ALLURIQUIN;85;0
305;VALLE HERMOSO;85;0
1755;LUZ DE AMERICA;85;0
1970;SAN JACINTO DEL BUA;85;0
1990;EL ESFUERZO;85;0
2045;SANTA MARIA DEL TOACHI;85;0
4440;PUERTO LIMON;85;0
5730;ABRAHAM CALAZACON;85;0
5860;BOMBOLI;85;0
5865;RIO VERDE;85;0
5870;RIO TOACHI;85;0
6065;SANTO DOMINGO;85;0
6175;CHIGUILPE;85;0
6180;ZARACAY;85;0
1375;QUINCHICOTO;90;0
5515;TISALEO;90;0
9013;C. E. EN BOGOTA;91;0
9015;C. E. EN IPIALES;91;0
5470;BALAO;95;4
35;ALAQUEZ;100;0
315;BELISARIO QUEVEDO;100;0
1485;GUAYTACAMA;100;0
1905;JOSEGUANGO BAJO;100;0
2480;MULALO;100;0
2620;11 DE NOVIEMBRE;100;0
2920;POALO;100;0
3530;SAN JUAN DE PASTOCALLE;100;0
3965;TANICUCHI;100;0
4035;TOACAZO;100;0
5310;ELOY ALFARO / SAN FELIPE;100;0
5465;IGNACIO FLORES;100;0
5500;JUAN MONTALVO;100;0
5555;LA MATRIZ;100;0
5940;SAN BUENAVENTURA;100;0
9016;C. E. EN SEUL;101;0
125;ANGAMARCA;105;0
1430;GUANGAJE;105;0
2150;LA VICTORIA;105;0
2865;PILALO;105;0
4015;TINGO;105;0
4365;ZUMBAHUA;105;0
5820;PUJILI;105;0
135;ANTONIO J. HOLGUIN;110;0
745;CUSUBAMBA;110;0
2475;MULALILLO;110;0
2490;MULLIQUINDIL;110;0
2760;PANZALEO;110;0
6000;SAN MIGUEL DE SALCEDO;110;0
9017;C. E. EN SAN JOSE;111;0
465;CANCHAGUA;115;0
830;CHANTILIN;115;0
990;COCHAPAMBA;115;0
6070;SAQUISILI;115;0
2460;MORASPUNGO;120;0
2890;PINLLOPATA;120;0
3155;RAMON CAMPAÑA;120;0
5305;EL CORAZON;120;0
9018;C. E. EN LA HABANA;121;0
1435;SAN JACINTO;125;4
5365;COLIMES;125;4
1675;ZURMI;130;0
4570;NUEVO PARAISO;130;0
4655;NANKAIS;130;0
5520;GUAYZIMI;130;0
9019;C. E. EN SANTIAGO;131;0
95;AMBATILLO;135;0
190;ATAHUALPA /CHIPZALATA;135;0
210;AUGUSTO N MARTINEZ;135;0
635;CONSTANTINO FERNANDEZ;135;0
800;CUNCHIBAMBA;135;0
810;UNAMUNCHO;135;0
1625;HUACHI GRANDE;135;0
1745;IZAMBA;135;0
1860;JUAN BENIGNO VELA;135;0
2435;MONTALVO;135;0
2775;PASA;135;0
2830;PICAYHUA;135;0
2860;PILAHUIN;135;0
3120;QUISAPINCHA;135;0
3355;SAN BARTOLOME;135;0
3380;SAN FERNANDO;135;0
3730;SANTA ROSA;135;0
4065;TOTORAS;135;0
5045;ATOCHA FICOA;135;0
5230;CELIANO MONGE;135;0
5445;HUACHI LORETO;135;0
5455;HUACHI CHICO;135;0
5545;LA MATRIZ;135;0
5560;LA MERCED;135;0
5605;LA PENINSULA;135;0
5840;PISHILATA;135;0
5945;SAN FRANCISCO;135;0
335;BENITEZ /PACHANLICA;140;0
365;BOLIVAR;140;0
675;COTALO;140;0
900;CHIQUICHA;140;0
1185;EL ROSARIO /RUMICHACA;140;0
1320;GARCIA MORENO;140;0
1630;HUAMBALO;140;0
3905;SALASACA;140;0
5780;PELILEO;140;0
5900;PELILEO GRANDE /R. MINO;140;0
9020;C. E. EN BEIJING;141;0
9068;C. E. EN SHANGAI;141;0
9075;C. E. EN GUANZHOU;141;0
295;BAQUERIZO MORENO;145;0
1210;EMILIO MARIA TERAN;145;0
2375;MARCOS ESPINEL;145;0
2945;PRESIDENTE URBINA;145;0
3300;SAN ANDRES;145;0
3485;SAN JOSE DE POALO;145;0
3585;SAN MIGUELITO;145;0
5225;CIUDAD NUEVA;145;0
5785;PILLARO;145;0
2270;LLIGUA;150;0
3190;RIO NEGRO;150;0
3200;RIO VERDE;150;0
4135;ULBA;150;0
5105;BAÑOS;150;0
2210;LOS ANDES;155;0
3885;SUCRE;155;0
4110;EL TRIUNFO;155;0
5830;PATATE;155;0
4310;YANAYACU MOCHAPATA;160;0
4550;RUMIPAMBA;160;0
5835;QUERO;160;0
9022;C. E. EN SAN SALVADOR;161;0
795;SAN LUIS DE PAMBIL;165;0
1255;FACUNDO VELA;165;0
1890;JULIO E MORENO;165;0
3285;SALINAS;165;0
3545;SAN LORENZO;165;0
3670;SAN SIMON;165;0
3710;SANTA FE;165;0
